,URL,title,BERT,predicted_class,h0,h1,h2,h3,score,classe
117,https://www.wsj.com/news/author/sadanand-dhume?mod=nav_top_subsection,Sadanand Dhume,0.346009838,0,0,1,1,0,1.873004919,0
118,https://www.wsj.com/news/author/james-freeman?mod=nav_top_subsection,James Freeman,0.546733009,0,0,1,1,0,1.973366505,0
119,https://www.wsj.com/news/author/william-a-galston?mod=nav_top_subsection,William A. Galston,0.032063031,0,0,1,1,0,1.716031516,0
120,https://www.wsj.com/news/author/daniel-henninger?mod=nav_top_subsection,Daniel Henninger,0.511868627,0,0,1,1,0,1.955934314,0
121,https://www.wsj.com/news/author/holman-w-jenkinsjr?mod=nav_top_subsection,Holman W. Jenkins,0.022742317,0,0,1,1,0,1.711371159,0
122,https://www.wsj.com/news/author/andy-kessler?mod=nav_top_subsection,Andy Kessler,0.235194597,0,0,1,1,0,1.817597299,0
123,https://www.wsj.com/news/author/william-mcgurn?mod=nav_top_subsection,William McGurn,0.821646475,0,0,1,1,0,2.110823238,0
124,https://www.wsj.com/news/author/walter-russell-mead?mod=nav_top_subsection,Walter Russell Mead,0.684855604,0,0,1,1,0,2.042427802,0
125,https://www.wsj.com/news/author/peggy-noonan?mod=nav_top_subsection,Peggy Noonan,0.206017777,0,0,1,1,0,1.803008888,0
126,https://www.wsj.com/news/author/mary-anastasia-ogrady?mod=nav_top_subsection,Mary Anastasia O'Grady,0.454684384,0,0,1,1,0,1.927342192,0
127,https://www.wsj.com/news/author/jason-l-riley?mod=nav_top_subsection,Jason Riley,0.811084478,0,0,1,1,0,2.105542239,0
128,https://www.wsj.com/news/author/joseph-c-sternberg?mod=nav_top_subsection,Joseph Sternberg,0.462121292,0,0,1,1,0,1.931060646,0
129,https://www.wsj.com/news/author/kimberley-a-strassel?mod=nav_top_subsection,Kimberley A. Strassel,0.131975637,0,0,1,1,0,1.765987818,0
130,https://www.wsj.com/news/types/review-outlook-u-s?mod=nav_top_subsection,Editorials,0.557267178,0,0,1,1,0,1.978633589,0
131,https://www.wsj.com/news/types/commentary-u-s?mod=nav_top_subsection,Commentary,0.653128523,0,0,1,1,0,2.026564261,0
132,https://www.wsj.com/news/types/future-view?mod=nav_top_subsection,Future View,0.938604916,0,0,1,1,0,2.169302458,0
